FUND_NAME,FUND_CLASSIFICATION,REPORT_PERIOD,MONTHLY_YIELD,AVG_ANNUAL_MANAGEMENT_FEE,TOTAL_ASSETS
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201901,1.63,0.21999999899999997,788.3
הפניקס פנסיה מקיפה - הפניקס מסלול שקלי טווח קצר,קרנות חדשות,201901,1.67,0.239999995,0.6
מגדל מקפת אישית שקלי טווח קצר,קרנות חדשות,201901,1.67,0.23000000399999998,4.6
"מנורה מבטחים פנסיה - מסלול אג""ח",קרנות חדשות,201901,3.21,0.189999998,744.8
"הפניקס מסלול פאסיבי - מדדי אג""ח חו""ל",קרנות חדשות,201901,3.79,0.239999995,1.5
"איילון מיטב מקיפה - מסלול אג""ח (ללא מניות)",קרנות חדשות,201901,3.89,0.180000007,5.4
"כלל פנסיה אג""ח",קרנות חדשות,201901,4.08,0.209999993,9.7
"מגדל מקפת אישית אג""ח",קרנות חדשות,201901,4.12,0.23000000399999998,9.0
"פסגות פנסיה מקיפה אג""ח עד 20% מניות",קרנות חדשות,201901,4.29,0.23000000399999998,0.5
הלמן-אלדובי קרן פנסיה מקיפה מסלול בסיסי למקבלי קצבה קיימים (עד 1.1.18),קרנות חדשות,201901,4.33,0.050000000999999995,0.9
"הראל פנסיה - אג""ח ללא מניות",קרנות חדשות,201901,4.36,0.21999999899999997,8.1
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2020,קרנות חדשות,201901,4.54,0.189999998,100.7
"הפניקס פנסיה מקיפה - הפניקס מסלול אג""ח ",קרנות חדשות,201901,4.59,0.239999995,5.3
פסגות פנסיה מקיפה לבני 60 ומעלה,קרנות חדשות,201901,4.64,0.23000000399999998,64.1
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201901,4.85,0.209999993,-2.5
"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",קרנות חדשות,201901,4.88,0.180000007,0.7
איילון מיטב מקיפה 60 ומעלה,קרנות חדשות,201901,4.94,0.180000007,175.0
"איילון מיטב מקיפה אג""ח עד 25% במנית",קרנות חדשות,201901,4.96,0.180000007,1.8
"פסגות פנסיה מקיפה חו""ל",קרנות חדשות,201901,5.0,0.23000000399999998,0.3
הלמן-אלדובי קרן פנסיה מקיפה לבני 60 ומעלה,קרנות חדשות,201901,5.07,0.050000000999999995,127.7
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201901,5.19,0.23000000399999998,254.3
הראל פנסיה- הלכה למקבלי קצבה קיימים,קרנות חדשות,201901,5.26,0.21999999899999997,2.8
פסגות פנסיה - פנסיונרים,קרנות חדשות,201901,5.3,0.23000000399999998,4.9
איילון מיטב מקיפה מסלול בסיסי למקבלי קצבה (למעט לפנסיונרים זכאים קיימים),קרנות חדשות,201901,5.33,0.180000007,-9.4
"הפניקס מסלול אג""ח עד 25% מניות",קרנות חדשות,201901,5.36,0.239999995,5.2
פסגות מקיפה - אפיק הלכה,קרנות חדשות,201901,5.39,0.23000000399999998,33.4
הראל פנסיה - גילאי 60 ומעלה,קרנות חדשות,201901,5.4,0.21999999899999997,209.2
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2025,קרנות חדשות,201901,5.44,0.189999998,374.4
פסגות פנסיה מקיפה - מסלול לבני 50 עד 60,קרנות חדשות,201901,5.45,0.23000000399999998,111.5
הפניקס פנסיה מקיפה - מסלול בסיסי למקבלי קצבה,קרנות חדשות,201901,5.48,0.239999995,-13.1
מנורה מבטחים פנסיה - תיק זכאים קיימים,קרנות חדשות,201901,5.49,0.189999998,-16.5
אלטשולר שחם פנסיה מקיפה מסלול בסיסי למקבלי קצבה קיימים,קרנות חדשות,201901,5.5,0.17000000199999998,-2.0
מסלול הלכה למקבלי קצבה קיימים,קרנות חדשות,201901,5.52,0.209999993,-1.3
כלל פנסיה 60 ומעלה,קרנות חדשות,201901,5.53,0.209999993,259.2
מסלול בסיסי למקבלי קצבה קיימים ,קרנות חדשות,201901,5.56,0.209999993,-345.1
איילון מיטב מקיפה הלכה,קרנות חדשות,201901,5.62,0.180000007,47.9
מגדל מקפת אישית הלכה,קרנות חדשות,201901,5.63,0.23000000399999998,144.7
מסלול קצבה לזכאים קיימים ,קרנות חדשות,201901,5.68,0.239999995,-0.3
מנורה מבטחים פנסיה - מסלול הלכה,קרנות חדשות,201901,5.68,0.189999998,167.9
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201901,5.71,0.23000000399999998,423.1
מסלול פנסיה לזכאים קיימים ,קרנות חדשות,201901,5.73,0.209999993,-7.4
חושן (כהלכה),קרנות חדשות,201901,5.75,0.209999993,47.1
איילון מיטב מקיפה קצבה לזכאים קיימים,קרנות חדשות,201901,5.76,0.180000007,-0.5
הפניקס פנסיה מקיפה - מסלול לבני 60 ומעלה,קרנות חדשות,201901,5.76,0.239999995,137.2
מגדל מקפת אישית הלכה למקבלי קצבה קיימים ,קרנות חדשות,201901,5.78,0.23000000399999998,0.0
פסגות פנסיה מקיפה מסלול הלכה למקבלי קצבה,קרנות חדשות,201901,5.83,0.23000000399999998,0.7
הראל פנסיה - הלכה,קרנות חדשות,201901,5.87,0.21999999899999997,196.8
אלטשולר שחם פנסיה מקיפה מסלול לבני 60 ומעלה,קרנות חדשות,201901,5.9,0.17000000199999998,141.8
הראל פנסיה  - זכאים קיימים לקצבה,קרנות חדשות,201901,5.91,0.21999999899999997,-1.7
הפניקס פנסיה מקיפה - מסלול הלכה ,קרנות חדשות,201901,5.92,0.239999995,75.6
הלמן-אלדובי קרן פנסיה מקיפה לבני 50 עד 60,קרנות חדשות,201901,5.94,0.050000000999999995,170.8
מגדל מקפת אישית לזכאים קיימים לקצבה,קרנות חדשות,201901,5.96,0.23000000399999998,-5.8
הראל  פנסיה - בסיסי למקבלי קצבה קיימים,קרנות חדשות,201901,6.01,0.21999999899999997,-149.1
מנורה מבטחים פנסיה - תיק מקבלי פנסיה קיימים,קרנות חדשות,201901,6.05,0.189999998,-512.9
מגדל מקפת אישית  למקבלי קצבה קיימים,קרנות חדשות,201901,6.12,0.23000000399999998,-258.5
"הפניקס מסלול פאסיבי - מדדי מניות חו""ל ",קרנות חדשות,201901,6.17,0.239999995,82.0
הראל פנסיה - גילאי 50 עד 60,קרנות חדשות,201901,6.18,0.21999999899999997,455.4
הפניקס פנסיה מקיפה - מסלול לבני 50 עד 60 ,קרנות חדשות,201901,6.19,0.239999995,377.8
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2030,קרנות חדשות,201901,6.22,0.189999998,562.6
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201901,6.25,0.23000000399999998,2240.6
כלל פנסיה 50-60,קרנות חדשות,201901,6.36,0.209999993,501.8
איילון מיטב מקיפה 50-60,קרנות חדשות,201901,6.4,0.180000007,55.5
מגדל מקפת אישית כללי,קרנות חדשות,201901,6.4,0.23000000399999998,247.1
פסגות פנסיה מקיפה - מסלול לבני 50 ומטה,קרנות חדשות,201901,6.76,0.23000000399999998,348.7
הראל פנסיה - גילאי 50 ומטה,קרנות חדשות,201901,6.77,0.21999999899999997,8586.9
הלמן-אלדובי קרן פנסיה מקיפה לבני 50 ומטה,קרנות חדשות,201901,6.82,0.050000000999999995,913.3
הראל פנסיה - מנוף כללי,קרנות חדשות,201901,6.86,0.21999999899999997,337.7
הראל  פנסיה - גילעד כללי,קרנות חדשות,201901,6.94,0.21999999899999997,-46.4
מנורה מבטחים פנסיה - כללי ,קרנות חדשות,201901,6.95,0.189999998,-187.0
אלטשולר שחם פנסיה מקיפה מסלול הלכה,קרנות חדשות,201901,6.96,0.17000000199999998,32.4
איילון מיטב מקיפה מסלול לבני 50 ומטה,קרנות חדשות,201901,6.99,0.180000007,1290.9
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2035,קרנות חדשות,201901,7.02,0.189999998,779.3
כלל פנסיה עד 50,קרנות חדשות,201901,7.07,0.209999993,2160.0
הפניקס פנסיה מקיפה  - מסלול לבני 50 ומטה ,קרנות חדשות,201901,7.18,0.239999995,2505.5
ספיר,קרנות חדשות,201901,7.23,0.209999993,-233.0
פסגות מקיפה - אפיק מניות,קרנות חדשות,201901,7.29,0.23000000399999998,8.0
הראל פנסיה - מניות,קרנות חדשות,201901,7.39,0.21999999899999997,316.3
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201901,7.52,0.189999998,1095.1
מגדל מקפת אישית מניות,קרנות חדשות,201901,7.56,0.23000000399999998,261.3
איילון מיטב פנסיה מקיפה פאסיבי- מדדי מניות,קרנות חדשות,201901,7.59,0.180000007,22.1
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2055,קרנות חדשות,201901,7.61,0.189999998,1153.8
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2050,קרנות חדשות,201901,7.67,0.189999998,1256.4
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2045,קרנות חדשות,201901,7.73,0.189999998,1303.1
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2040,קרנות חדשות,201901,7.75,0.189999998,1173.3
איילון מיטב מקיפה - מסלול מניות,קרנות חדשות,201901,7.8,0.180000007,29.3
אלטשולר שחם פנסיה מקיפה מסלול לבני 50-60,קרנות חדשות,201901,7.99,0.17000000199999998,366.2
כלל פנסיה מניות ,קרנות חדשות,201901,8.32,0.209999993,217.4
הפניקס פנסיה מקיפה - הפניקס מסלול מניות,קרנות חדשות,201901,8.46,0.239999995,278.2
מנורה מבטחים פנסיה - מסלול מניות ,קרנות חדשות,201901,9.05,0.189999998,223.6
אלטשולר שחם פנסיה מקיפה מסלול לבני 50 ומטה,קרנות חדשות,201901,9.43,0.17000000199999998,2717.9
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201902,1.63,0.21999999899999997,788.3
הפניקס פנסיה מקיפה - הפניקס מסלול שקלי טווח קצר,קרנות חדשות,201902,1.67,0.239999995,0.6
מגדל מקפת אישית שקלי טווח קצר,קרנות חדשות,201902,1.67,0.23000000399999998,4.6
"מנורה מבטחים פנסיה - מסלול אג""ח",קרנות חדשות,201902,3.21,0.189999998,744.8
"הפניקס מסלול פאסיבי - מדדי אג""ח חו""ל",קרנות חדשות,201902,3.79,0.239999995,1.5
"איילון מיטב מקיפה - מסלול אג""ח (ללא מניות)",קרנות חדשות,201902,3.89,0.180000007,5.4
"כלל פנסיה אג""ח",קרנות חדשות,201902,4.08,0.209999993,9.7
"מגדל מקפת אישית אג""ח",קרנות חדשות,201902,4.12,0.23000000399999998,9.0
"פסגות פנסיה מקיפה אג""ח עד 20% מניות",קרנות חדשות,201902,4.29,0.23000000399999998,0.5
הלמן-אלדובי קרן פנסיה מקיפה מסלול בסיסי למקבלי קצבה קיימים (עד 1.1.18),קרנות חדשות,201902,4.33,0.050000000999999995,0.9
"הראל פנסיה - אג""ח ללא מניות",קרנות חדשות,201902,4.36,0.21999999899999997,8.1
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2020,קרנות חדשות,201902,4.54,0.189999998,100.7
"הפניקס פנסיה מקיפה - הפניקס מסלול אג""ח ",קרנות חדשות,201902,4.59,0.239999995,5.3
פסגות פנסיה מקיפה לבני 60 ומעלה,קרנות חדשות,201902,4.64,0.23000000399999998,64.1
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201902,4.85,0.209999993,-2.5
"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",קרנות חדשות,201902,4.88,0.180000007,0.7
איילון מיטב מקיפה 60 ומעלה,קרנות חדשות,201902,4.94,0.180000007,175.0
"איילון מיטב מקיפה אג""ח עד 25% במנית",קרנות חדשות,201902,4.96,0.180000007,1.8
"פסגות פנסיה מקיפה חו""ל",קרנות חדשות,201902,5.0,0.23000000399999998,0.3
הלמן-אלדובי קרן פנסיה מקיפה לבני 60 ומעלה,קרנות חדשות,201902,5.07,0.050000000999999995,127.7
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201902,5.19,0.23000000399999998,254.3
הראל פנסיה- הלכה למקבלי קצבה קיימים,קרנות חדשות,201902,5.26,0.21999999899999997,2.8
פסגות פנסיה - פנסיונרים,קרנות חדשות,201902,5.3,0.23000000399999998,4.9
איילון מיטב מקיפה מסלול בסיסי למקבלי קצבה (למעט לפנסיונרים זכאים קיימים),קרנות חדשות,201902,5.33,0.180000007,-9.4
"הפניקס מסלול אג""ח עד 25% מניות",קרנות חדשות,201902,5.36,0.239999995,5.2
פסגות מקיפה - אפיק הלכה,קרנות חדשות,201902,5.39,0.23000000399999998,33.4
הראל פנסיה - גילאי 60 ומעלה,קרנות חדשות,201902,5.4,0.21999999899999997,209.2
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2025,קרנות חדשות,201902,5.44,0.189999998,374.4
פסגות פנסיה מקיפה - מסלול לבני 50 עד 60,קרנות חדשות,201902,5.45,0.23000000399999998,111.5
הפניקס פנסיה מקיפה - מסלול בסיסי למקבלי קצבה,קרנות חדשות,201902,5.48,0.239999995,-13.1
מנורה מבטחים פנסיה - תיק זכאים קיימים,קרנות חדשות,201902,5.49,0.189999998,-16.5
אלטשולר שחם פנסיה מקיפה מסלול בסיסי למקבלי קצבה קיימים,קרנות חדשות,201902,5.5,0.17000000199999998,-2.0
מסלול הלכה למקבלי קצבה קיימים,קרנות חדשות,201902,5.52,0.209999993,-1.3
כלל פנסיה 60 ומעלה,קרנות חדשות,201902,5.53,0.209999993,259.2
מסלול בסיסי למקבלי קצבה קיימים ,קרנות חדשות,201902,5.56,0.209999993,-345.1
איילון מיטב מקיפה הלכה,קרנות חדשות,201902,5.62,0.180000007,47.9
מגדל מקפת אישית הלכה,קרנות חדשות,201902,5.63,0.23000000399999998,144.7
מסלול קצבה לזכאים קיימים ,קרנות חדשות,201902,5.68,0.239999995,-0.3
מנורה מבטחים פנסיה - מסלול הלכה,קרנות חדשות,201902,5.68,0.189999998,167.9
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201902,5.71,0.23000000399999998,423.1
מסלול פנסיה לזכאים קיימים ,קרנות חדשות,201902,5.73,0.209999993,-7.4
חושן (כהלכה),קרנות חדשות,201902,5.75,0.209999993,47.1
איילון מיטב מקיפה קצבה לזכאים קיימים,קרנות חדשות,201902,5.76,0.180000007,-0.5
הפניקס פנסיה מקיפה - מסלול לבני 60 ומעלה,קרנות חדשות,201902,5.76,0.239999995,137.2
מגדל מקפת אישית הלכה למקבלי קצבה קיימים ,קרנות חדשות,201902,5.78,0.23000000399999998,0.0
פסגות פנסיה מקיפה מסלול הלכה למקבלי קצבה,קרנות חדשות,201902,5.83,0.23000000399999998,0.7
הראל פנסיה - הלכה,קרנות חדשות,201902,5.87,0.21999999899999997,196.8
אלטשולר שחם פנסיה מקיפה מסלול לבני 60 ומעלה,קרנות חדשות,201902,5.9,0.17000000199999998,141.8
הראל פנסיה  - זכאים קיימים לקצבה,קרנות חדשות,201902,5.91,0.21999999899999997,-1.7
הפניקס פנסיה מקיפה - מסלול הלכה ,קרנות חדשות,201902,5.92,0.239999995,75.6
הלמן-אלדובי קרן פנסיה מקיפה לבני 50 עד 60,קרנות חדשות,201902,5.94,0.050000000999999995,170.8
מגדל מקפת אישית לזכאים קיימים לקצבה,קרנות חדשות,201902,5.96,0.23000000399999998,-5.8
הראל  פנסיה - בסיסי למקבלי קצבה קיימים,קרנות חדשות,201902,6.01,0.21999999899999997,-149.1
מנורה מבטחים פנסיה - תיק מקבלי פנסיה קיימים,קרנות חדשות,201902,6.05,0.189999998,-512.9
מגדל מקפת אישית  למקבלי קצבה קיימים,קרנות חדשות,201902,6.12,0.23000000399999998,-258.5
"הפניקס מסלול פאסיבי - מדדי מניות חו""ל ",קרנות חדשות,201902,6.17,0.239999995,82.0
הראל פנסיה - גילאי 50 עד 60,קרנות חדשות,201902,6.18,0.21999999899999997,455.4
הפניקס פנסיה מקיפה - מסלול לבני 50 עד 60 ,קרנות חדשות,201902,6.19,0.239999995,377.8
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2030,קרנות חדשות,201902,6.22,0.189999998,562.6
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201902,6.25,0.23000000399999998,2240.6
כלל פנסיה 50-60,קרנות חדשות,201902,6.36,0.209999993,501.8
איילון מיטב מקיפה 50-60,קרנות חדשות,201902,6.4,0.180000007,55.5
מגדל מקפת אישית כללי,קרנות חדשות,201902,6.4,0.23000000399999998,247.1
פסגות פנסיה מקיפה - מסלול לבני 50 ומטה,קרנות חדשות,201902,6.76,0.23000000399999998,348.7
הראל פנסיה - גילאי 50 ומטה,קרנות חדשות,201902,6.77,0.21999999899999997,8586.9
הלמן-אלדובי קרן פנסיה מקיפה לבני 50 ומטה,קרנות חדשות,201902,6.82,0.050000000999999995,913.3
הראל פנסיה - מנוף כללי,קרנות חדשות,201902,6.86,0.21999999899999997,337.7
הראל  פנסיה - גילעד כללי,קרנות חדשות,201902,6.94,0.21999999899999997,-46.4
מנורה מבטחים פנסיה - כללי ,קרנות חדשות,201902,6.95,0.189999998,-187.0
אלטשולר שחם פנסיה מקיפה מסלול הלכה,קרנות חדשות,201902,6.96,0.17000000199999998,32.4
איילון מיטב מקיפה מסלול לבני 50 ומטה,קרנות חדשות,201902,6.99,0.180000007,1290.9
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2035,קרנות חדשות,201902,7.02,0.189999998,779.3
כלל פנסיה עד 50,קרנות חדשות,201902,7.07,0.209999993,2160.0
הפניקס פנסיה מקיפה  - מסלול לבני 50 ומטה ,קרנות חדשות,201902,7.18,0.239999995,2505.5
ספיר,קרנות חדשות,201902,7.23,0.209999993,-233.0
פסגות מקיפה - אפיק מניות,קרנות חדשות,201902,7.29,0.23000000399999998,8.0
הראל פנסיה - מניות,קרנות חדשות,201902,7.39,0.21999999899999997,316.3
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201902,7.52,0.189999998,1095.1
מגדל מקפת אישית מניות,קרנות חדשות,201902,7.56,0.23000000399999998,261.3
איילון מיטב פנסיה מקיפה פאסיבי- מדדי מניות,קרנות חדשות,201902,7.59,0.180000007,22.1
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2055,קרנות חדשות,201902,7.61,0.189999998,1153.8
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2050,קרנות חדשות,201902,7.67,0.189999998,1256.4
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2045,קרנות חדשות,201902,7.73,0.189999998,1303.1
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2040,קרנות חדשות,201902,7.75,0.189999998,1173.3
איילון מיטב מקיפה - מסלול מניות,קרנות חדשות,201902,7.8,0.180000007,29.3
אלטשולר שחם פנסיה מקיפה מסלול לבני 50-60,קרנות חדשות,201902,7.99,0.17000000199999998,366.2
כלל פנסיה מניות ,קרנות חדשות,201902,8.32,0.209999993,217.4
הפניקס פנסיה מקיפה - הפניקס מסלול מניות,קרנות חדשות,201902,8.46,0.239999995,278.2
מנורה מבטחים פנסיה - מסלול מניות ,קרנות חדשות,201902,9.05,0.189999998,223.6
אלטשולר שחם פנסיה מקיפה מסלול לבני 50 ומטה,קרנות חדשות,201902,9.43,0.17000000199999998,2717.9
הראל פנסיה - שיקלי טווח קצר,קרנות חדשות,201903,1.63,0.21999999899999997,788.3
הפניקס פנסיה מקיפה - הפניקס מסלול שקלי טווח קצר,קרנות חדשות,201903,1.67,0.239999995,0.6
מגדל מקפת אישית שקלי טווח קצר,קרנות חדשות,201903,1.67,0.23000000399999998,4.6
"מנורה מבטחים פנסיה - מסלול אג""ח",קרנות חדשות,201903,3.21,0.189999998,744.8
"הפניקס מסלול פאסיבי - מדדי אג""ח חו""ל",קרנות חדשות,201903,3.79,0.239999995,1.5
"איילון מיטב מקיפה - מסלול אג""ח (ללא מניות)",קרנות חדשות,201903,3.89,0.180000007,5.4
"כלל פנסיה אג""ח",קרנות חדשות,201903,4.08,0.209999993,9.7
"מגדל מקפת אישית אג""ח",קרנות חדשות,201903,4.12,0.23000000399999998,9.0
"פסגות פנסיה מקיפה אג""ח עד 20% מניות",קרנות חדשות,201903,4.29,0.23000000399999998,0.5
הלמן-אלדובי קרן פנסיה מקיפה מסלול בסיסי למקבלי קצבה קיימים (עד 1.1.18),קרנות חדשות,201903,4.33,0.050000000999999995,0.9
"הראל פנסיה - אג""ח ללא מניות",קרנות חדשות,201903,4.36,0.21999999899999997,8.1
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2020,קרנות חדשות,201903,4.54,0.189999998,100.7
"הפניקס פנסיה מקיפה - הפניקס מסלול אג""ח ",קרנות חדשות,201903,4.59,0.239999995,5.3
פסגות פנסיה מקיפה לבני 60 ומעלה,קרנות חדשות,201903,4.64,0.23000000399999998,64.1
"מסלול אג""ח עד 15% מניות ",קרנות חדשות,201903,4.85,0.209999993,-2.5
"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",קרנות חדשות,201903,4.88,0.180000007,0.7
איילון מיטב מקיפה 60 ומעלה,קרנות חדשות,201903,4.94,0.180000007,175.0
"איילון מיטב מקיפה אג""ח עד 25% במנית",קרנות חדשות,201903,4.96,0.180000007,1.8
"פסגות פנסיה מקיפה חו""ל",קרנות חדשות,201903,5.0,0.23000000399999998,0.3
הלמן-אלדובי קרן פנסיה מקיפה לבני 60 ומעלה,קרנות חדשות,201903,5.07,0.050000000999999995,127.7
מגדל מקפת אישית לבני 60 ומעלה,קרנות חדשות,201903,5.19,0.23000000399999998,254.3
הראל פנסיה- הלכה למקבלי קצבה קיימים,קרנות חדשות,201903,5.26,0.21999999899999997,2.8
פסגות פנסיה - פנסיונרים,קרנות חדשות,201903,5.3,0.23000000399999998,4.9
איילון מיטב מקיפה מסלול בסיסי למקבלי קצבה (למעט לפנסיונרים זכאים קיימים),קרנות חדשות,201903,5.33,0.180000007,-9.4
"הפניקס מסלול אג""ח עד 25% מניות",קרנות חדשות,201903,5.36,0.239999995,5.2
פסגות מקיפה - אפיק הלכה,קרנות חדשות,201903,5.39,0.23000000399999998,33.4
הראל פנסיה - גילאי 60 ומעלה,קרנות חדשות,201903,5.4,0.21999999899999997,209.2
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2025,קרנות חדשות,201903,5.44,0.189999998,374.4
פסגות פנסיה מקיפה - מסלול לבני 50 עד 60,קרנות חדשות,201903,5.45,0.23000000399999998,111.5
הפניקס פנסיה מקיפה - מסלול בסיסי למקבלי קצבה,קרנות חדשות,201903,5.48,0.239999995,-13.1
מנורה מבטחים פנסיה - תיק זכאים קיימים,קרנות חדשות,201903,5.49,0.189999998,-16.5
אלטשולר שחם פנסיה מקיפה מסלול בסיסי למקבלי קצבה קיימים,קרנות חדשות,201903,5.5,0.17000000199999998,-2.0
מסלול הלכה למקבלי קצבה קיימים,קרנות חדשות,201903,5.52,0.209999993,-1.3
כלל פנסיה 60 ומעלה,קרנות חדשות,201903,5.53,0.209999993,259.2
מסלול בסיסי למקבלי קצבה קיימים ,קרנות חדשות,201903,5.56,0.209999993,-345.1
איילון מיטב מקיפה הלכה,קרנות חדשות,201903,5.62,0.180000007,47.9
מגדל מקפת אישית הלכה,קרנות חדשות,201903,5.63,0.23000000399999998,144.7
מסלול קצבה לזכאים קיימים ,קרנות חדשות,201903,5.68,0.239999995,-0.3
מנורה מבטחים פנסיה - מסלול הלכה,קרנות חדשות,201903,5.68,0.189999998,167.9
מגדל מקפת אישית לבני 50 עד 60,קרנות חדשות,201903,5.71,0.23000000399999998,423.1
מסלול פנסיה לזכאים קיימים ,קרנות חדשות,201903,5.73,0.209999993,-7.4
חושן (כהלכה),קרנות חדשות,201903,5.75,0.209999993,47.1
איילון מיטב מקיפה קצבה לזכאים קיימים,קרנות חדשות,201903,5.76,0.180000007,-0.5
הפניקס פנסיה מקיפה - מסלול לבני 60 ומעלה,קרנות חדשות,201903,5.76,0.239999995,137.2
מגדל מקפת אישית הלכה למקבלי קצבה קיימים ,קרנות חדשות,201903,5.78,0.23000000399999998,0.0
פסגות פנסיה מקיפה מסלול הלכה למקבלי קצבה,קרנות חדשות,201903,5.83,0.23000000399999998,0.7
הראל פנסיה - הלכה,קרנות חדשות,201903,5.87,0.21999999899999997,196.8
אלטשולר שחם פנסיה מקיפה מסלול לבני 60 ומעלה,קרנות חדשות,201903,5.9,0.17000000199999998,141.8
הראל פנסיה  - זכאים קיימים לקצבה,קרנות חדשות,201903,5.91,0.21999999899999997,-1.7
הפניקס פנסיה מקיפה - מסלול הלכה ,קרנות חדשות,201903,5.92,0.239999995,75.6
הלמן-אלדובי קרן פנסיה מקיפה לבני 50 עד 60,קרנות חדשות,201903,5.94,0.050000000999999995,170.8
מגדל מקפת אישית לזכאים קיימים לקצבה,קרנות חדשות,201903,5.96,0.23000000399999998,-5.8
הראל  פנסיה - בסיסי למקבלי קצבה קיימים,קרנות חדשות,201903,6.01,0.21999999899999997,-149.1
מנורה מבטחים פנסיה - תיק מקבלי פנסיה קיימים,קרנות חדשות,201903,6.05,0.189999998,-512.9
מגדל מקפת אישית  למקבלי קצבה קיימים,קרנות חדשות,201903,6.12,0.23000000399999998,-258.5
"הפניקס מסלול פאסיבי - מדדי מניות חו""ל ",קרנות חדשות,201903,6.17,0.239999995,82.0
הראל פנסיה - גילאי 50 עד 60,קרנות חדשות,201903,6.18,0.21999999899999997,455.4
הפניקס פנסיה מקיפה - מסלול לבני 50 עד 60 ,קרנות חדשות,201903,6.19,0.239999995,377.8
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2030,קרנות חדשות,201903,6.22,0.189999998,562.6
מגדל מקפת אישית לבני 50 ומטה,קרנות חדשות,201903,6.25,0.23000000399999998,2240.6
כלל פנסיה 50-60,קרנות חדשות,201903,6.36,0.209999993,501.8
איילון מיטב מקיפה 50-60,קרנות חדשות,201903,6.4,0.180000007,55.5
מגדל מקפת אישית כללי,קרנות חדשות,201903,6.4,0.23000000399999998,247.1
פסגות פנסיה מקיפה - מסלול לבני 50 ומטה,קרנות חדשות,201903,6.76,0.23000000399999998,348.7
הראל פנסיה - גילאי 50 ומטה,קרנות חדשות,201903,6.77,0.21999999899999997,8586.9
הלמן-אלדובי קרן פנסיה מקיפה לבני 50 ומטה,קרנות חדשות,201903,6.82,0.050000000999999995,913.3
הראל פנסיה - מנוף כללי,קרנות חדשות,201903,6.86,0.21999999899999997,337.7
הראל  פנסיה - גילעד כללי,קרנות חדשות,201903,6.94,0.21999999899999997,-46.4
מנורה מבטחים פנסיה - כללי ,קרנות חדשות,201903,6.95,0.189999998,-187.0
אלטשולר שחם פנסיה מקיפה מסלול הלכה,קרנות חדשות,201903,6.96,0.17000000199999998,32.4
איילון מיטב מקיפה מסלול לבני 50 ומטה,קרנות חדשות,201903,6.99,0.180000007,1290.9
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2035,קרנות חדשות,201903,7.02,0.189999998,779.3
כלל פנסיה עד 50,קרנות חדשות,201903,7.07,0.209999993,2160.0
הפניקס פנסיה מקיפה  - מסלול לבני 50 ומטה ,קרנות חדשות,201903,7.18,0.239999995,2505.5
ספיר,קרנות חדשות,201903,7.23,0.209999993,-233.0
פסגות מקיפה - אפיק מניות,קרנות חדשות,201903,7.29,0.23000000399999998,8.0
הראל פנסיה - מניות,קרנות חדשות,201903,7.39,0.21999999899999997,316.3
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,קרנות חדשות,201903,7.52,0.189999998,1095.1
מגדל מקפת אישית מניות,קרנות חדשות,201903,7.56,0.23000000399999998,261.3
איילון מיטב פנסיה מקיפה פאסיבי- מדדי מניות,קרנות חדשות,201903,7.59,0.180000007,22.1
